benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,selected_loop_id,selected_loop_cycles
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43844104
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,65567486
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,98237366
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,146808050
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,241941966
LoopStep,Nested,run6,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run6.txt,2318326660,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,615508236
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1325860
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2009900
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2844414
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,4190274
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5900984
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9283562
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,13543716
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19565808
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,32364630
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43753722
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,65502580
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,98113958
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,148205104
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,248409324
LoopStep,Nested,run7,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run7.txt,2343100434,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,619927084
LoopStep,Nested,run8,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run8.txt,2302412126,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1356912
LoopStep,Nested,run8,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run8.txt,2302412126,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1985456
LoopStep,Nested,run8,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run8.txt,2302412126,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2842342
