Benchmark,Index,Activation Count
DeltaBlue,java.util.Vector.add(Object),168993
DeltaBlue,deltablue.Planner.makePlan(Vector),2806000
DeltaBlue,deltablue.EqualityConstraint.execute()-Re-Comp,286680
DeltaBlue,java.util.Vector$Itr.hasNext(),54788
DeltaBlue,java.util.Vector$Itr.next(),1544858
DeltaBlue,java.util.Vector$Itr.checkForComodification(),4
DeltaBlue,java.util.Vector.elementData(int),5
DeltaBlue,deltablue.Plan.execute(),1738929
DeltaBlue,deltablue.Plan.execute()-Re-Comp,29
DeltaBlue,java.util.Vector$Itr.hasNext()-Re-Comp,133205
DeltaBlue,deltablue.Plan.execute()-Re-Comp,2053533
DeltaBlue,deltablue.Plan.execute()-Re-Comp,205804679
DeltaBlue,jdk.internal.classfile.impl.AbstractDirectBuilder.constantPool(),434
DeltaBlue,java.net.URL.getProtocol(),34
DeltaBlue,java.security.CodeSource.getLocationNoFragString(),22
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,4137342
DeltaBlue,som.Vector.append(Object)-Re-Comp,957720
DeltaBlue,"deltablue.Planner$5.<init>(Planner,",87168
DeltaBlue,"deltablue.Planner$6.<init>(Planner,",87168
DeltaBlue,"deltablue.Planner.constraintsConsuming(Variable,",290560
DeltaBlue,deltablue.Planner$6.apply(AbstractConstraint),2660762
DeltaBlue,deltablue.Planner.removePropagateFrom(Variable),1383243
DeltaBlue,deltablue.Planner.removePropagateFrom(Variable)-Re-Comp,137
DeltaBlue,java.lang.Class.getModule(),4
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,1809563
DeltaBlue,"deltablue.Planner.addPropagate(AbstractConstraint,-Re-Comp",3128225
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,2159995
DeltaBlue,"deltablue.Planner.addPropagate(AbstractConstraint,-Re-Comp",12437282683
DeltaBlue,deltablue.BinaryConstraint.chooseMethod(int)-Re-Comp,122846
DeltaBlue,deltablue.UnaryConstraint.getOutput(),7388
DeltaBlue,deltablue.UnaryConstraint.isSatisfied(),12364
DeltaBlue,deltablue.AbstractConstraint.isInput(),30001872
DeltaBlue,deltablue.BinaryConstraint.getOutput()-Re-Comp,161256
DeltaBlue,"deltablue.BinaryConstraint.<init>(Variable,-Re-Comp",156032
DeltaBlue,deltablue.BinaryConstraint.isSatisfied()-Re-Comp,42939
DeltaBlue,deltablue.Variable.addConstraint(AbstractConstraint)-Re-Comp,176234
DeltaBlue,deltablue.AbstractConstraint.addConstraint(Planner)-Re-Comp,435723
DeltaBlue,deltablue.Planner.incrementalAdd(AbstractConstraint)-Re-Comp,89892078
DeltaBlue,"deltablue.AbstractConstraint.satisfy(int,-Re-Comp",274591
DeltaBlue,deltablue.Variable.value(int),870310
DeltaBlue,"deltablue.UnaryConstraint.<init>(Variable,",2135961
DeltaBlue,deltablue.StayConstraint.execute(),29995216
DeltaBlue,"deltablue.StayConstraint.<init>(Variable,",60162
DeltaBlue,"deltablue.ScaleConstraint.<init>(Variable,",4289089792
DeltaBlue,deltablue.ScaleConstraint.execute(),638734
DeltaBlue,deltablue.Planner.projectionTest(int),1
DeltaBlue,deltablue.Planner.projectionTest(int)-Re-Comp,4440123
DeltaBlue,deltablue.Planner.projectionTest(int)-Re-Comp,1
DeltaBlue,deltablue.Planner.projectionTest(int)-Re-Comp,1827756
DeltaBlue,deltablue.BinaryConstraint.inputsHasOne(TestInterface),4
DeltaBlue,deltablue.AbstractConstraint$$Lambda/0x000000008f045218.test(Object),8
DeltaBlue,"deltablue.AbstractConstraint.lambda$inputsKnown$0(int,",2
DeltaBlue,deltablue.Planner$3.apply(Object)-Re-Comp,4917138712
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,1772988
DeltaBlue,som.Vector.forEach(ForEachInterface)-Re-Comp,4665864000
DeltaBlue,deltablue.AbstractConstraint.inputsKnown(int)-Re-Comp,121856
DeltaBlue,deltablue.Plan.append(Object)-Re-Comp,378843
DeltaBlue,deltablue.Planner.makePlan(Vector)-Re-Comp,3571609
DeltaBlue,deltablue.Planner.makePlan(Vector)-Re-Comp,9108286319
DeltaBlue,deltablue.ScaleConstraint.execute()-Re-Comp,1169393014
DeltaBlue,deltablue.Plan.execute()-Re-Comp,2182806
DeltaBlue,deltablue.Plan.execute()-Re-Comp,119205232883
DeltaBlue,"som.Vector.lambda$remove$0(Object,",30
DeltaBlue,som.Vector$$Lambda/0x000000008f045440.apply(Object),1117762
DeltaBlue,deltablue.Planner$5.apply(Object),288140
